"Rider","Horse","Apr Place","Apr Score","Apr Points","Jun Place","Jun Score","Jun Points","Jul Place","Jul Score","Jul Points","Sep Place","Sep Score","Sep Points","Total Shows","Total Points","Class"
"Preston J Kent","Einsteins Whiz Kidd","1","72","10","2","73.5","9","","","","","","","2","19","OPEN"
"Bub Poplin","Olenas Gunshot","2","71","9","","","","","","","","","","1","9","OPEN"
"Preston J Kent","Smart Chic Magnum","3","70","7.5","","","","","","","","","","1","7.5","OPEN"
"Preston J Kent","Gotta Get Her Gun","3","70","7.5","","","","","","","","","","1","7.5","OPEN"
"Dan V Myers","Magnums Little Dream","","0","","","","","","","","","","","1","0","OPEN"
"Shannon Brach","HF Chaching Chaching","","0","","","","","","","","","","","1","0","OPEN"
"Shelly A Withers","AJ Moonshine N Juice","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Ivie","Xtra Dr Dun It","","0","","","","","","","","","","","1","0","OPEN"
"Ethan A Willey","Out Late Tonite","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Kent","Roosters Dream Girl","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Kent","A Smokin Star","","0","","","","","","","","","","","1","0","OPEN"
"Caroline Brunson","Blazed By Magnum","","0","","5","72","6","","","","","","","2","6","OPEN"
"Preston J Kent","Sonic Voodoo","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Kent","Lil Josey","","0","","","","","","","","","","","1","0","OPEN"
"Erik Flores","Dunitmobsterstyle","","0","","","","","","","","","","","1","0","OPEN"
"Clint J Anderson","Whiztric","","0","","","","","","","","","","","1","0","OPEN"
"Thomas C Brighton","Tatooedawhizzenchic","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Kent","One Mo Joe","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Kent","LV Hustle N Shine","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Kent","FS Ishine At Nite","","0","","","","","","","","","","","1","0","OPEN"
"Dan V Myers","HF Oakielookinchic","","0","","","","","","","","","","","1","0","OPEN"
"Shannon Brach","Tater","","0","","","","","","","","","","","1","0","OPEN"
"Mack E Weaver","Platinum Per Se","","","","1","74","10","","","","","","","1","10","OPEN"
"Preston J Kent","Shiner Voodoo Time","","","","3","72.5","7.5","","","","","","","1","7.5","OPEN"
"Preston J Kent","Electric Cocktail","","","","6","71.5","5","","","","","","","1","5","OPEN"
"Preston J Kent","Lil Pale Face","","","","7","71","3.5","","","","","","","1","3.5","OPEN"
"Stefaan Bultinck","Shesa Smokin Spark","","","","3","72.5","7.5","","","","","","","1","7.5","OPEN"
"Trysten K Paskett","Mockingbird","","","","7","71","3.5","","","","","","","1","3.5","OPEN"
"Trysten K Paskett","Freeezing Reyn","","","","9","70","2","","","","","","","1","2","OPEN"
"Trysten K Paskett","SS Ifrubieswereguns","","","","","0","","","","","","","","1","0","OPEN"
"Dan V. Myers","Ghost In The Dark","","","","10","69.5","1","","","","","","","1","1","OPEN"
"Matthew McDowell","GPB Smart Voodoo","","","","11","68","0","","","","","","","1","0","OPEN"
"Shannon Brach","Scooters Gunslinger","","","","12","66.5","0","","","","","","","1","0","OPEN"
"Bub Poplin","Bump","","","","","0","","","","","","","","1","0","OPEN"
"Bub Poplin","Olenas Gunshot","1","71","10","","","","","","","","","","1","10","INTERMEDIATE OPEN"
"David A Worley","Spook N Disguise","2","70.5","9","","","","","","","","","","1","9","INTERMEDIATE OPEN"
"Shalyce Jessop","Joe With The Dough","3","63.5","8","3","71.5","8","","","","","","","2","16","INTERMEDIATE OPEN"
"Stefaan Bultinck","LC Luna Star","","0","","","","","","","","","","","1","","INTERMEDIATE OPEN"
"Ethan A Willey","Slick Tricks","","0","","","","","","","","","","","1","","INTERMEDIATE OPEN"
"Travis J Wigen","Tell Me Im Wrong","","0","","","","","","","","","","","1","","INTERMEDIATE OPEN"
"Lindsay Lee Kovick","HF Hollywood Hitman","","0","","","","","","","","","","","1","","INTERMEDIATE OPEN"
"Travis J Wigen","Ruf Wallowa Whiz","","","","","","","","","","","","","","","INTERMEDIATE OPEN"
"Clint J Anderson","Whiztric","","","","1","72","9.5","","","","","","","1","9.5","INTERMEDIATE OPEN"
"Sharon E Fraser","Spook N Disguise","","","","1","72","9.5","","","","","","","1","9.5","INTERMEDIATE OPEN"
"Trysten K Paskett","Mockingbird","","","","4","71","6.5","","","","","","","1","6.5","INTERMEDIATE OPEN"
"Trysten K Paskett","Freeezing Reyn","","","","6","70","5","","","","","","","1","5","INTERMEDIATE OPEN"
"Trysten K Paskett","SS Ifrubieswereguns","","","","","0","","","","","","","","1","","INTERMEDIATE OPEN"
"Maxx Gonzalez","Va Nilla Icce","","","","4","71","6.5","","","","","","","1","6.5","INTERMEDIATE OPEN"
"David A Worley","Spook N Disguise","1","70.5","10","","","","","","","","","","1","10","LIMITED OPEN"
"Angie Willey","Xtra Drinktilhescute","2","67.5","8.5","","","","","","","","","","1","8.5","LIMITED OPEN"
"Maxx Gonzalez","Va Nilla Icce","2","67.5","8.5","4","71","6.5","","","","","","","2","15","LIMITED OPEN"
"Shalyce Jessop","Joe With The Dough","4","63.5","7","3","71.5","8","","","","","","","2","15","LIMITED OPEN"
"Clint J Anderson","Whiztric","","","","1","72","9.5","","","","","","","1","9.5","LIMITED OPEN"
"Sharon E Fraser","Spook N Disguise","","","","1","72","9.5","","","","","","","1","9.5","LIMITED OPEN"
"Shannon Brach","Gunners Shiney Spark","","","","4","71","6.5","","","","","","","1","6.5","LIMITED OPEN"
"Trysten K Paskett","Whata Wondrful World","","","","6","70.5","5","","","","","","","1","5","LIMITED OPEN"
"Shannon Brach","Shining Sugarplum","","","","7","70","4","","","","","","","1","4","LIMITED OPEN"
"Jessica Elaine Harris","Snap n Bend","","","","8","67.5","3","","","","","","","1","3","LIMITED OPEN"
"Maxx Gonzalez","GF Smart Crush","","","","","0","","","","","","","","1","0","LIMITED OPEN"
"Hazel Williamson","Sonic Voodoo","1","71","10","5","68.5","5","","","","","","","2","15","ROOKIE LEVEL 1"
"Ashley V Jackman","SS Im Slim Shady","2","70.5","9","19","62.5","0","","","","","","","2","9","ROOKIE LEVEL 1"
"Heather Williams","A Little More Bliss","3","69.5","8","","","","","","","","","","1","8","ROOKIE LEVEL 1"
"Billie Henderson","Sprocket","4","69","7","","","","","","","","","","1","7","ROOKIE LEVEL 1"
"Kelly Johnston","Olenas Gunshot","5","68.5","6","","","","","","","","","","1","6","ROOKIE LEVEL 1"
"Tristan Jade Moulton","Miss Dry Tag","6","68","5","4","69","7","","","","","","","2","12","ROOKIE LEVEL 1"
"Douglas Graham","Try N Catch The Mob","7","67.5","3.5","1","69.5","9","","","","","","","2","12.5","ROOKIE LEVEL 1"
"Misty D. Palmer","HF Team Dream","7","67.5","3.5","14","65","0","","","","","","","2","3.5","ROOKIE LEVEL 1"
"Gwen Louann Lyman","Walla Dun Good","9","67","0.75","1","69.5","9","","","","","","","2","9.75","ROOKIE LEVEL 1"
"Denielle Maire Jones","Its Vintage Per Se","9","67","0.75","","0","","","","","","","","2","0.75","ROOKIE LEVEL 1"
"Addison Redd","Smart Little Geewhiz","9","67","0.75","","","","","","","","","","1","0.75","ROOKIE LEVEL 1"
"Lisa Stewart","Stylish Low Rider","9","67","0.75","","0","","","","","","","","2","0.75","ROOKIE LEVEL 1"
"Arlynn T Kemp","Electrician","13","66.5","0","5","68.5","5","","","","","","","2","5","ROOKIE LEVEL 1"
"Kriston N. Hill","Crow About Cash","13","66.5","0","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Bartt Phillips","Smart N Up","13","66.5","0","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Chaunntel S Pettit","Whizkeygotmespinnin","16","66","0","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"John L. Walsdorf","Rein N Time","16","66","0","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Dee + A. Oakeson","Mak Daddy","16","66","0","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Lisa + Oakeson","SS Stellar Starlight","16","66","0","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Stephanie Morgan Recktenwald","Scooters Gunslinger","16","66","0","10","67","1","","","","","","","2","1","ROOKIE LEVEL 1"
"Kendra Manwaring","All Dun Gamblin","16","66","0","1","69.5","9","","","","","","","2","9","ROOKIE LEVEL 1"
"Trevor Robert Erickson","Lil Cash Now","22","65","0","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Hadlee Spencer","Skinny Dippin Moonshine","23","64.5","0","12","66","0","","","","","","","2","0","ROOKIE LEVEL 1"
"Phyllis Torgersen","Moonshine Mister","24","64","0","16","64.5","0","","","","","","","2","0","ROOKIE LEVEL 1"
"Jaiden Jessop","A Hard Days Nite","25","63.5","0","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Ashley Redd","Not Dreamin At All","26","62.5","0","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"James Proctor","Customized Flinn","26","62.5","0","8","67.5","2.5","","","","","","","2","2.5","ROOKIE LEVEL 1"
"Mark S Mackey","A Busy Colonel","28","60.5","0","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Stephanie Sandberg","Walla Whiz Guns","29","56.5","0","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Dorothy Wolf","Mandolorian","","0","","22","59","0","","","","","","","2","0","ROOKIE LEVEL 1"
"Gwen Louann Lyman","Sail Away Spook","","0","","","0","","","","","","","","2","0","ROOKIE LEVEL 1"
"Alisa J Martin","Gunnin Dunnin Chic","","0","","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Kayla Jessop","Custom Bred","","0","","11","66.5","0","","","","","","","2","0","ROOKIE LEVEL 1"
"Taylor K Adams","Coastnintotinseltown","","0","","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Megan Ray","Aliceinhollywood BB","","0","","14","65","0","","","","","","","2","0","ROOKIE LEVEL 1"
"Elizabeth Kaelin","Slick Tricks","","0","","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Gavin Rawle","I Slide To Shine","","0","","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Bridger Mackey","Little Blue Chevelle","","0","","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Trevor Robert Erickson","O How You Sparkle","","0","","","","","","","","","","","1","0","ROOKIE LEVEL 1"
"Arlynn T Kemp+","Smoken Lil Whiz","","","","","0","","","","","","","","1","0","ROOKIE LEVEL 1"
"Maegan Davis","Roxys Hitman","","","","5","68.5","5","","","","","","","1","5","ROOKIE LEVEL 1"
"Jayme Howard","Taken Down the Mob","","","","8","67.5","2.5","","","","","","","1","2.5","ROOKIE LEVEL 1"
"Kristin Ahmann","Cromed Out Starlite","","","","13","65.5","0","","","","","","","1","0","ROOKIE LEVEL 1"
"Anneli Williams","HF Oakielookinchic","","","","16","64.5","0","","","","","","","1","0","ROOKIE LEVEL 1"
"Natalie Quinn Benvenuti","Light My Nic","","","","18","63","0","","","","","","","1","0","ROOKIE LEVEL 1"
"Charisse Phillips","Angelica","","","","19","62.5","0","","","","","","","1","0","ROOKIE LEVEL 1"
"Carson Hubble Masuisui","Ifihadamiliondollars","","","","21","61.5","0","","","","","","","1","0","ROOKIE LEVEL 1"
"Collett Watkins","MS Electric Crome","","","","","0","","","","","","","","1","0","ROOKIE LEVEL 1"
"Bellamie Davis","Nite Bizness","","","","","0","","","","","","","","1","0","ROOKIE LEVEL 1"
"Berklee Phillips","Xxl Gun","","","","","0","","","","","","","","1","0","ROOKIE LEVEL 1"
"Preston Phillips","LV Pinesail Voodoo","","","","","0","","","","","","","","1","0","ROOKIE LEVEL 1"
"Jessica Watkins","Striker Chic Shine","1","72","10","1","71.5","10","","","","","","","2","20","ROOKIE LEVEL 2"
"Denise Wilstead+","Gotcha","2","69.5","8","2","71","8","","","","","","","2","16","ROOKIE LEVEL 2"
"Stacy Erickson","Setting Off Spooks","2","69.5","8","2","71","8","","","","","","","2","16","ROOKIE LEVEL 2"
"Sammy J Laird","Sunshine N Whizkie","2","69.5","8","5","70.5","6","","","","","","","2","14","ROOKIE LEVEL 2"
"Graceann Nancy Hendricks","HF Got Milk","5","69","6","10","67.5","1","","","","","","","2","7","ROOKIE LEVEL 2"
"Peter Lodder","Freeze N Slide","6","67","4.5","","","","","","","","","","1","4.5","ROOKIE LEVEL 2"
"Lisa Stewart","Stylish Low Rider","6","67","4.5","","0","","","","","","","","2","4.5","ROOKIE LEVEL 2"
"Wesley D Wells","Jessie Smoken Gun","8","65","3","","0","","","","","","","","2","3","ROOKIE LEVEL 2"
"Jessica Elaine Harris","Snap N Bend","9","64.5","2","6","70","5","","","","","","","2","7","ROOKIE LEVEL 2"
"Julie Prows","Mi Scootin Whiz","10","62","1","9","68","2","","","","","","","2","3","ROOKIE LEVEL 2"
"Mark S Mackey","A Busy Colonel","11","60.5","0","","","","","","","","","","1","0","ROOKIE LEVEL 2"
"Bridger Mackey","Little Blue Chevelle","","0","","","","","","","","","","","1","0","ROOKIE LEVEL 2"
"Jeanne A Stout","Surprize Attack","","","","2","71","8","","","","","","","1","8","ROOKIE LEVEL 2"
"Douglas Graham","Try N Catch The Mob","","","","7","69.5","4","","","","","","","1","4","ROOKIE LEVEL 2"
"Stefaan Bultinck","Shesa Smokin Spark","","","","8","68.5","3","","","","","","","1","3","ROOKIE LEVEL 2"
"Emma Howell","Mr Roostar","","","","11","67","0","","","","","","","1","0","ROOKIE LEVEL 2"
"Charisse Phillips","Angelica","","","","12","62.5","0","","","","","","","1","0","ROOKIE LEVEL 2"
"Berklee Phillips","Xxl Gun","","","","","0","","","","","","","","1","0","ROOKIE LEVEL 2"
"Denise Wilstead+","Gotcha","1","69.5","9","1","71","9","","","","","","","2","18","PRIME TIME ROOKIE"
"Stacy Erickson","Setting Off Spooks","1","69.5","9","1","71","9","","","","","","","2","18","PRIME TIME ROOKIE"
"Sammy J Laird","Sunshine N Whizkie","1","69.5","9","4","70.5","7","","","","","","","2","16","PRIME TIME ROOKIE"
"Douglas Graham","Try N Catch The Mob","4","67.5","7","5","69.5","6","","","","","","","2","13","PRIME TIME ROOKIE"
"Denielle Maire Jones","Its Vintage Per Se","5","67","5.5","","","","","","","","","","1","5.5","PRIME TIME ROOKIE"
"Lisa Stewart","Stylish Low Rider","5","67","5.5","","0","","","","","","","","2","5.5","PRIME TIME ROOKIE"
"Joy R Eddards+","Boomernics Cocktail","7","66.5","2.5","","","","","","","","","","1","2.5","PRIME TIME ROOKIE"
"Arlynn T Kemp+","Electrician","7","66.5","2.5","6","68.5","4.5","","","","","","","2","7","PRIME TIME ROOKIE"
"Gina Olsen","Gunz Galore","7","66.5","2.5","","0","","","","","","","","2","2.5","PRIME TIME ROOKIE"
"Kathy Valdez","HF The Freak","7","66.5","2.5","8","68","3","","","","","","","2","5.5","PRIME TIME ROOKIE"
"Chaunntel S Pettit","Whizkeygotmespinnin","11","66","0","","","","","","","","","","1","0","PRIME TIME ROOKIE"
"Dee + A. Oakeson","Mak Daddy","11","66","0","","","","","","","","","","1","0","PRIME TIME ROOKIE"
"Lisa Oakeson+","SS Stellar Starlight","11","66","0","","","","","","","","","","1","0","PRIME TIME ROOKIE"
"Wesley D Wells","Jessie Smoken Gun","14","65","0","","0","","","","","","","","2","0","PRIME TIME ROOKIE"
"Bruce Selk+","Whizful Thinkin","15","60.5","0","10","66.5","1","","","","","","","2","1","PRIME TIME ROOKIE"
"Amanda Graham+","Spooky Vortex","","0","","9","67.5","2","","","","","","","2","2","PRIME TIME ROOKIE"
"Jeanne A Stout","Surprize Attack","","","","1","71","9","","","","","","","1","9","PRIME TIME ROOKIE"
"Arlynn T Kemp+","Smoken Lil Whiz","","","","","0","","","","","","","","1","0","PRIME TIME ROOKIE"
"Stefaan Bultinck","Shesa Smokin Spark","","","","6","68.5","4.5","","","","","","","1","4.5","PRIME TIME ROOKIE"
"Stefaan Bultinck","LC Luna Star","","","","12","63","0","","","","","","","1","0","PRIME TIME ROOKIE"
"Kristin Ahmann","Cromed Out Starlite","","","","11","65.5","0","","","","","","","1","0","PRIME TIME ROOKIE"
"Ruth Armstrong","Mystic Mac","","","","","0","","","","","","","","1","0","PRIME TIME ROOKIE"
"Blakely Bradford","Imasmart Bodee","1","74","10","1","70.5","10","","","","","","","2","20","YOUTH 10 & UNDER"
"Hadlee Redd","Not Dreamin At All","2","69.5","9","","","","","","","","","","1","9","YOUTH 10 & UNDER"
"Kase Watkins","A Steady Dream","","0","","4","65.5","7","","","","","","","2","7","YOUTH 10 & UNDER"
"Aspen Proctor","Customized Flinn","","0","","3","69.5","8","","","","","","","2","8","YOUTH 10 & UNDER"
"Natalie Quinn Benvenuti","Light My Nic","","","","2","70","9","","","","","","","","9","YOUTH 10 & UNDER"
"Gabriela Harmsen","HF Schocker","","","","1","71","10","","","","","","","1","10","YOUTH 13 & UNDER"
"Gwen Louann Lyman","Sail Away Spook","","","","2","70.5","8.5","","","","","","","1","8.5","YOUTH 13 & UNDER"
"Gwen Louann Lyman","Walla Dun Good","","","","2","70.5","8.5","","","","","","","1","8.5","YOUTH 13 & UNDER"
"Hazel Williamson","Sonic Voodoo","","","","4","69","7","","","","","","","1","7","YOUTH 13 & UNDER"
"Blakely Bradford","Imasmart Bodee","","","","5","68","6","","","","","","","1","6","YOUTH 13 & UNDER"
"Natalie Quinn Benvenuti","Light My Nic","","","","6","67.5","4.5","","","","","","","1","4.5","YOUTH 13 & UNDER"
"Brynlee Karren","Mark this Flash","","","","6","67.5","4.5","","","","","","","1","4.5","YOUTH 13 & UNDER"
"Kayla Jessop","Custom Bred","","","","8","67","3","","","","","","","1","3","YOUTH 13 & UNDER"
"McCoy Puffer","Sixbar Golden Peppy","","","","9","66.5","2","","","","","","","1","2","YOUTH 13 & UNDER"
"Oakley Humphrey","This Flinn Like Nic","","","","10","61.5","1","","","","","","","1","1","YOUTH 13 & UNDER"
"Charlee Ann Mabey","Douvoodoolikeido","","","","1","72.5","9.5","","","","","","","1","9.5","YOUTH 14 TO 18"
"Sadie L Martin","NVR Lil Lucky Joe","","","","1","72.5","9.5","","","","","","","1","9.5","YOUTH 14 TO 18"
"Sadie L Martin","NVR Another Lucky Joe","","","","3","71.5","8","","","","","","","1","8","YOUTH 14 TO 18"
"Charlee Ann Mabey","Wind Er Up Wimp","","","","4","71","5.5","","","","","","","1","5.5","YOUTH 14 TO 18"
"Quincy Manwaring","Xtra Wimped Nay Nay","","","","4","71","5.5","","","","","","","1","5.5","YOUTH 14 TO 18"
"Isabella Harmsen","Gunna Have The Dream","","","","4","71","5.5","","","","","","","1","5.5","YOUTH 14 TO 18"
"Hailey N Bird","Va Nilla Icce","","","","4","71","5.5","","","","","","","1","5.5","YOUTH 14 TO 18"
"Shalyce Jessop","Joe With The Dough","","","","8","70.5","3","","","","","","","1","3","YOUTH 14 TO 18"
"Jonni Wright","Shesa Shining Desire","","","","9","68.5","2","","","","","","","1","2","YOUTH 14 TO 18"
"Lacie Savage","A Steady Dream","","","","10","67.5","1","","","","","","","1","1","YOUTH 14 TO 18"
"Hailey N Bird","TR Naughty Dottie","","","","","0","","","","","","","","1","0","YOUTH 14 TO 18"
"Jessica Watkins","Striker Chic Shine","1","70.5","9.5","","","","","","","","","","1","9.5","LIMITED NON PRO"
"Shalawn F Gerratt","New Leader","1","70.5","9.5","","","","","","","","","","1","9.5","LIMITED NON PRO"
"Shalyce Jessop","Joe With The Dough","3","70","7.5","5","70.5","6","","","","","","","2","13.5","LIMITED NON PRO"
"Elizabeth Kaelin","Slick Tricks","3","70","7.5","","","","","","","","","","1","7.5","LIMITED NON PRO"
"Jaiden Jessop","A Hard Days Nite","5","69.5","6","","","","","","","","","","1","6","LIMITED NON PRO"
"Kelly Johnston","Olenas Gunshot","6","69","5","","","","","","","","","","1","5","LIMITED NON PRO"
"Shannon D Porter","Hollywood Fairy Tale","7","68.5","4","9","69.5","0.75","","","","","","","2","4.75","LIMITED NON PRO"
"Taylor Ann Anderson","Smart Chic Magnum","8","68","1.2","6","70","4","","","","","","","2","5.2","LIMITED NON PRO"
"Zachary Schmidt","BH Last Dream","8","68","1.2","","","","","","","","","","1","1.2","LIMITED NON PRO"
"Kriston N. Hill","Crow About Cash","8","68","1.2","","","","","","","","","","1","1.2","LIMITED NON PRO"
"Sadie L Martin","NVR Lil Lucky Joe","8","68","1.2","","","","","","","","","","1","1.2","LIMITED NON PRO"
"Billie Henderson","Sprocket","8","68","1.2","","","","","","","","","","1","1.2","LIMITED NON PRO"
"Jessica Elaine Harris","Snap N Bend","13","67.5","0","","0","","","","","","","","2","0","LIMITED NON PRO"
"Stacy Erickson","Setting Off Spooks","13","67.5","0","1","72","9.5","","","","","","","2","9.5","LIMITED NON PRO"
"Graceann Nancy Hendricks","HF Got Milk","13","67.5","0","4","71","7","","","","","","","2","7","LIMITED NON PRO"
"Joy R Eddards+","Boomernics Cocktail","16","67","0","","","","","","","","","","1","0","LIMITED NON PRO"
"Christine Godfrey","Wimpy Lil Moonshine","17","66.5","0","","","","","","","","","","1","0","LIMITED NON PRO"
"Gwen Louann Lyman","Sail Away Spook","18","66","0","","","","","","","","","","1","0","LIMITED NON PRO"
"Tristan Jade Moulton","Miss Dry Tag","19","65.5","0","13","69","0","","","","","","","2","0","LIMITED NON PRO"
"Gabriela Harmsen","Ruf Rider","19","65.5","0","21","62","0","","","","","","","2","0","LIMITED NON PRO"
"Isabella Harmsen","Special Made Sangria","21","64.5","0","","0","","","","","","","","2","0","LIMITED NON PRO"
"Stephanie Morgan Recktenwald","Scooters Gunslinger","22","64","0","","","","","","","","","","1","0","LIMITED NON PRO"
"Nichole Niermeyer","Apollo Icegunya 76","23","63.5","0","","0","","","","","","","","2","0","LIMITED NON PRO"
"Charisse Phillips","Smart N Up","23","63.5","0","","","","","","","","","","1","0","LIMITED NON PRO"
"Taylor K Adams","Coastnintotinseltown","25","60.5","0","19","67.5","0","","","","","","","2","0","LIMITED NON PRO"
"Julie Prows","Mi Scootin Whiz","","0","","6","70","4","","","","","","","2","4","LIMITED NON PRO"
"Kristina Ann Gilbert","Beanythingyouwannabe","","0","","","","","","","","","","","1","0","LIMITED NON PRO"
"Stephanie Sandberg","Walla Whiz Guns","","0","","","","","","","","","","","1","0","LIMITED NON PRO"
"Madison Bohman","Voodoos New Diamond","","0","","","","","","","","","","","1","0","LIMITED NON PRO"
"Preston Phillips","LV Pinesail Voodoo","","0","","","","","","","","","","","1","0","LIMITED NON PRO"
"Kendra Manwaring","All Dun Gamblin","","0","","17","68.5","0","","","","","","","2","0","LIMITED NON PRO"
"Trevor Robert Erickson","Lil Cash Now","","0","","","","","","","","","","","1","0","LIMITED NON PRO"
"Trevor Robert Erickson","O How You Sparkle","","0","","","","","","","","","","","1","0","LIMITED NON PRO"
"Brilyn Nate Wilson","Nvr Lil Ruf Tinker","","","","1","72","9.5","","","","","","","1","9.5","LIMITED NON PRO"
"Sammy J Laird","Sunshine N Whizkie","","","","3","71.5","8","","","","","","","1","8","LIMITED NON PRO"
"Amanda Graham+","Spooky Vortex","","","","6","70","4","","","","","","","1","4","LIMITED NON PRO"
"Douglas Graham","Try N Catch The Mob","","","","9","69.5","0.75","","","","","","","1","0.75","LIMITED NON PRO"
"Stefaan Bultinck","Shesa Smokin Spark","","","","9","69.5","0.75","","","","","","","1","0.75","LIMITED NON PRO"
"Quincy Manwaring","Xtra Wimped Nay Nay","","","","9","69.5","0.75","","","","","","","1","0.75","LIMITED NON PRO"
"Lisa Stewart","Stylish Low Rider","","","","13","69","0","","","","","","","1","0","LIMITED NON PRO"
"Edwardo Valdez+","Fizzy Berries","","","","13","69","0","","","","","","","","","LIMITED NON PRO"
"Edwardo Valdez+","Dunitmobsterstyle","","","","","0","","","","","","","","","","LIMITED NON PRO"
"Emma Howell","Mr Roostar","","","","13","69","0","","","","","","","","","LIMITED NON PRO"
"Sam N Wells","Jessie Smoken Gun","","","","18","68","0","","","","","","","","","LIMITED NON PRO"
"Hadlee Spencer","Skinny Dippin Moonshine","","","","20","64","0","","","","","","","","","LIMITED NON PRO"
"Belinda S Zundel","Bald And Shiney","","","","","0","","","","","","","","","","LIMITED NON PRO"
"Denielle Maire Jones","Its Vintage Per Se","","","","","0","","","","","","","","","","LIMITED NON PRO"
"Glen B Roach+","Alpha Coronalastchic","1","71","10","","0","","","","","","","","2","10","PRIME TIME NON PRO"
"Juston Palmer","Comin Atcha","2","70.5","8.5","2","71.5","8","","","","","","","2","16.5","PRIME TIME NON PRO"
"Shalawn F Gerratt","New Leader","2","70.5","8.5","","","","","","","","","","1","8.5","PRIME TIME NON PRO"
"Denise Wilstead+","Gotcha","4","70","7","","0","","","","","","","","2","7","PRIME TIME NON PRO"
"Denise L Dunlap+","LC Still Smokin Em","5","68.5","6","5","71","6","","","","","","","2","12","PRIME TIME NON PRO"
"Stacy Erickson","Setting Off Spooks","6","67.5","5","1","72","10","","","","","","","2","15","PRIME TIME NON PRO"
"Joy R Eddards+","Boomernics Cocktail","7","67","3.5","","0","","","","","","","","2","3.5","PRIME TIME NON PRO"
"Juston Palmer","I Am The Boss","7","67","3.5","","","","","","","","","","1","3.5","PRIME TIME NON PRO"
"Christine Godfrey","Wimpy Lil Moonshine","9","66.5","2","","","","","","","","","","1","2","PRIME TIME NON PRO"
"Wesley D Wells","Jessie Smoken Gun","10","62.5","1","12","68","0","","","","","","","2","1","PRIME TIME NON PRO"
"Robyn L Edwards+","Make My Dayz","","0","","10","68.5","0.5","","","","","","","2","0.5","PRIME TIME NON PRO"
"Juston Palmer","SS Old Money","","","","2","71.5","8","","","","","","","1","8","PRIME TIME NON PRO"
"Sammy J Laird","Sunshine N Whizkie","","","","2","71.5","8","","","","","","","1","8","PRIME TIME NON PRO"
"Kathleen Roach+","Blinker Two Point O","","","","6","70.5","5","","","","","","","1","5","PRIME TIME NON PRO"
"Douglas Graham","Try N Catch The Mob","","","","7","69.5","3.5","","","","","","","1","3.5","PRIME TIME NON PRO"
"Stefaan Bultinck","Shesa Smokin Spark","","","","7","69.5","3.5","","","","","","","1","3.5","PRIME TIME NON PRO"
